reviewId,userName,content,score,at,de_emojized_text,clean_text,normalized_text,stemmed_text
6cc0f537-7b27-4d34-8dd0-b791f6692417,Adrian Andi,aku di ejek mulu serba salah game kasar,1,2026-07-13 18:37:10,aku di ejek mulu serba salah game kasar,aku di ejek mulu serba salah game kasar,saya di ejek selalu serba salah game kasar,saya di ejek selalu serba salah game kasar
9bdd80a4-2617-4060-bbab-e1dc7748caaf,Anugrah Tri Saputra,"menghubungkan ketika sedang bermain, hubungi costumer service tapi gak guna, game besar tapi sering ngebug, apaan ini",1,2026-07-13 18:36:30,"menghubungkan ketika sedang bermain, hubungi costumer service tapi gak guna, game besar tapi sering ngebug, apaan ini",menghubungkan ketika sedang bermain hubungi costumer service tapi gak guna game besar tapi sering ngebug apaan ini,menghubungkan ketika sedang bermain hubungi costumer service tapi tidak guna game besar tapi sering bug apa ini,hubung ketika sedang main hubung costumer service tapi tidak guna game besar tapi sering bug apa ini
42fd6255-96f7-4efe-ba34-679bbd38b490,Fany tidak punya kabel Fany tidak tidak punya kabel,monton tolong cariin tim bagus,5,2026-07-13 18:35:54,monton tolong cariin tim bagus,monton tolong cariin tim bagus,moonton tolong cari tim bagus,moonton tolong cari tim bagus
02583d48-834d-4642-819f-5b38a58b12ce,Gunawan M,pelit gw udah gacha dapetnya zonk Mulu plslah ditambah main rank timnya gak adil trs gw dikasih tim troll Mulu gak adil,2,2026-07-13 18:34:54,pelit gw udah gacha dapetnya zonk Mulu plslah ditambah main rank timnya gak adil trs gw dikasih tim troll Mulu gak adil,pelit gw udah gacha dapetnya zonk mulu plslah ditambah main rank timnya gak adil trs gw dikasih tim troll mulu gak adil,pelit saya sudah undi dapat buruk selalu tolong ditambah main rank timnya tidak adil terus saya beri tim troll selalu tidak adil,pelit saya sudah undi dapat buruk selalu tolong tambah main rank tim tidak adil terus saya beri tim troll selalu tidak adil
a8e7c786-ee5d-4814-8256-508fba66f492,Handikagans,gj lu napa gw menghubungkan ulang gk masuk masuk personal lu,2,2026-07-13 18:34:02,gj lu napa gw menghubungkan ulang gk masuk masuk personal lu,gj lu napa gw menghubungkan ulang gk masuk masuk personal lu,tidak jelas kamu kenapa saya menghubungkan ulang tidak masuk masuk personal kamu,tidak jelas kamu kenapa saya hubung ulang tidak masuk masuk personal kamu
94979aea-d5bb-4b93-aa43-7b75c9ef587a,Byy Berr,server lu lag suuu,1,2026-07-13 18:33:29,server lu lag suuu,server lu lag su,server kamu lambat su,server kamu lambat su
034509c6-72db-4cf9-9ea4-7c111c246e1f,Dinara Almahyra,tolong dong kenapa hp gua redmi ada bacaan tidak menanggapi dan kurangi jumlah besar grafiknya,1,2026-07-13 18:32:34,tolong dong kenapa hp gua redmi ada bacaan tidak menanggapi dan kurangi jumlah besar grafiknya,tolong dong kenapa hp gua redmi ada bacaan tidak menanggapi dan kurangi jumlah besar grafiknya,tolong dong kenapa hp saya redmi ada bacaan tidak menanggapi dan kurangi jumlah besar grafiknya,tolong dong kenapa hp saya redmi ada baca tidak tanggap dan kurang jumlah besar grafik
6154dfc7-2500-4549-9ab9-04a46ceecccd,Dewa Gede Megantara Putra,sinyal full tapi ngelag kecewa jelas berat,1,2026-07-13 18:32:30,sinyal full tapi ngelag kecewa jelas berat,sinyal full tapi ngelag kecewa jelas berat,sinyal full tapi lag kecewa jelas berat,sinyal full tapi lag kecewa jelas berat
116826d5-b4ac-43c5-a304-d706cf65a76f,Rizky Pratama,"aku mau kasih trik biar kalian bisa naik rank tanpa marah marah,ini khusus yang pengen naik rank ke mytick beberapa bintang yaa..☺️ jadi....kan 1 season ada 90 hari nah kalian bisa pakai trik main rank 1 hari 1 kali jadi ,kalian bisa dapetin 90 bintang dalam 90 hari(misal saat awal season kalian turun di epic 4 nah jadi kalau kalian push rank pakai metode tadi kalian bisa naik rank mytick bintang 10 ketika reset season)mungkin itu ajasih trik dari aku semoga bermanfaat,pliss like nya dong☺️.",5,2026-07-13 18:32:15,"aku mau kasih trik biar kalian bisa naik rank tanpa marah marah,ini khusus yang pengen naik rank ke mytick beberapa bintang yaa.. senyum  jadi....kan 1 season ada 90 hari nah kalian bisa pakai trik main rank 1 hari 1 kali jadi ,kalian bisa dapetin 90 bintang dalam 90 hari(misal saat awal season kalian turun di epic 4 nah jadi kalau kalian push rank pakai metode tadi kalian bisa naik rank mytick bintang 10 ketika reset season)mungkin itu ajasih trik dari aku semoga bermanfaat,pliss like nya dong senyum .",aku mau kasih trik biar kalian bisa naik rank tanpa marah marahini khusus yang pengen naik rank ke mytick beberapa bintang yaa senyum jadikan season ada hari nah kalian bisa pakai trik main rank hari kali jadi kalian bisa dapetin bintang dalam harimisal saat awal season kalian turun di epic nah jadi kalau kalian push rank pakai metode tadi kalian bisa naik rank mytick bintang ketika reset seasonmungkin itu ajasih trik dari aku semoga bermanfaatpliss like nya dong senyum,saya mau kasih trik agar kalian bisa naik rank tanpa marah marahini khusus yang ingin naik rank ke mythic beberapa bintang ya senyum jadikan season ada hari nah kalian bisa pakai trik main rank hari kali jadi kalian bisa dapat bintang dalam harimisal saat awal season kalian turun di epic nah jadi kalau kalian push rank pakai metode tadi kalian bisa naik rank mythic bintang ketika reset seasonmungkin itu saja trik dari saya semoga bermanfaatpliss like nya dong senyum,saya mau kasih trik agar kalian bisa naik rank tanpa marah marahini khusus yang ingin naik rank ke mythic beberapa bintang ya senyum jadi season ada hari nah kalian bisa pakai trik main rank hari kali jadi kalian bisa dapat bintang dalam harimisal saat awal season kalian turun di epic nah jadi kalau kalian push rank pakai metode tadi kalian bisa naik rank mythic bintang ketika reset seasonmungkin itu saja trik dari saya moga bermanfaatpliss like nya dong senyum
c37bbcb6-2d93-4966-b231-e20ae0e209f4,Dedy Ramadhaan,"Bener bener game rusak, ga ngerti lagi kenapa dapet tim yang ga seimbang, sekedar mendapatkan tim yang history gameplay nya aja gabisa nentuin. Selalu dapet tim feed padahal udah mythic. Ga ngejamin emang game rusak ga adil plagiat juga.",1,2026-07-13 18:32:15,"Bener bener game rusak, ga ngerti lagi kenapa dapet tim yang ga seimbang, sekedar mendapatkan tim yang history gameplay nya aja gabisa nentuin. Selalu dapet tim feed padahal udah mythic. Ga ngejamin emang game rusak ga adil plagiat juga.",bener bener game rusak ga ngerti lagi kenapa dapet tim yang ga seimbang sekedar mendapatkan tim yang history gameplay nya aja gabisa nentuin selalu dapet tim feed padahal udah mythic ga ngejamin emang game rusak ga adil plagiat juga,benar benar game rusak tidak paham lagi kenapa dapat tim yang tidak seimbang sekedar mendapatkan tim yang history gameplay nya saja tidak bisa tentu selalu dapat tim beban padahal sudah mythic tidak jamin emang game rusak tidak adil plagiat juga,benar benar game rusak tidak paham lagi kenapa dapat tim yang tidak imbang dar dapat tim yang history gameplay nya saja tidak bisa tentu selalu dapat tim beban padahal sudah mythic tidak jamin emang game rusak tidak adil plagiat juga
